facility_name,lat,lon,max_capacity,full_address,city,property_type
'Ccaa' Infant And Toddler Child Care Centre,49.238539,-123.016499,242.0,"3978 Brandon St, Burnaby, BC",Burnaby,Daycare
'Na Aksa Gyilak'yoo School,54.5238028,-128.6680497,,"PO Box 544, Terrace, BC",Terrace,Elementary-Secondary Independent School
1 Step 2 Steps Child Care,49.173016,-121.931104,207.0,"9422 Coote St, Chilliwack, BC",Chilliwack,Daycare
100 Acre Wood,49.152123,-122.930399,284.0,"10567 Modesto Pl, Delta, BC",Delta,Daycare
100 Mile House Elementary,51.6469978,-121.2940495,455.0,"PO Box 460, 100 Mile House, BC",100 Mile House,Elementary Public School
101 Childcare,49.796,-124.495337,221.0,"7607 Hwy 101, Powell River, BC",Powell River,Daycare
121 - Alphabet Montessori,49.221339,-122.893482,192.0,"121 Columbia St E, New Westminster, BC",New Westminster,Daycare
123 A Child's World,49.212705,-122.93524,301.0,"1115 Dublin St, New Westminster, BC",New Westminster,Daycare
123 A.B.C. Montessori Infant/Toddler Center,49.262172,-122.846011,277.0,"737 Poirier St, Coquitlam, BC",Coquitlam,Daycare
123 Learn With Me,56.154123,-120.679276,159.0,"10431 99 St, Taylor, BC",Taylor,Daycare
150 Mile Elementary,52.1072205,-121.9283131,265.0,"PO Box 259, 150 Mile House, BC",150 Mile House,Elementary Public School
1St Ave Montessori Daycare,49.271017,-123.182685,167.0,"3544 1St Ave W, Vancouver, BC",Vancouver,Daycare
1St Step Montessori Inc - Sunbury Hall,49.155834,-122.934458,100.0,"10409 Dunlop Rd, Delta, BC",Delta,Daycare
2 Sisters Childcare Centre,49.112885,-122.817932,254.0,"6065 146 St, Surrey, BC",Surrey,Daycare
2Nd Home Bilingual Child Care Center,49.230914,-122.954049,224.0,"6262 Buckingham Dr, Burnaby, BC",Burnaby,Daycare
3 Bee's Marble Hill Daycare,49.134604,-121.836529,136.0,"7267 Marble Hill Rd, Chilliwack, BC",Chilliwack,Daycare
3 Corners Child Care Centre I,49.264315,-123.100221,159.0,"1 Kingsway, Vancouver, BC",Vancouver,Daycare
3 Corners Child Care Centre Ii,49.264315,-123.100221,125.0,"1 Kingsway, Vancouver, BC",Vancouver,Daycare
3 Wishes Childcare Centre,49.213772,-122.602939,282.0,"22365 Callighan Ave, Maple Ridge, BC",Maple Ridge,Daycare
4 Pillar Early Learning Centre,49.854348,-124.510399,140.0,"5110 Manson Ave, Powell River, BC",Powell River,Daycare
5 Corners Day Care,49.19918,-122.844829,216.0,"13620 Grosvenor Rd, Surrey, BC",Surrey,Daycare
5 Star Learning Centre,49.13166,-122.663325,288.0,"7096 201 St, Langley, BC",Langley,Daycare
5 Stars Day Care Centre,49.108345,-122.82194,241.0,"14443 58 Ave, Surrey, BC",Surrey,Daycare
5 Stars Daycare,49.122894,-122.834603,250.0,"6605 140Th St, Surrey, BC",Surrey,Daycare
5 Steps Childcare,49.076166,-122.649053,100.0,"4084 207A St, Langley, BC",Langley,Daycare
6 Mile Daycare,53.026763,-122.596301,198.0,"2074 Blackwater Rd, Quesnel, BC",Quesnel,Daycare
64GO,48.8555053,-123.507354,,"112 Rainbow Rd, Salt Spring Island, BC",Salt Spring Island,Elementary-Secondary Public School
6Th Avenue Childcare,50.672937,-120.32746,210.0,"520 6Th Ave, Kamloops, BC",Kamloops,Daycare
?Aq'amnik Daycare,49.5836,-115.754515,170.0,"7470 Mission Rd, Cranbrook, BC",Cranbrook,Daycare
?ELSET Elementary,48.6260801,-123.4229244,390.0,"1800 Forest Park Dr, North Saanich, BC",North Saanich,Elementary Public School
?Echen Childcare Division,52.969074,-122.516462,237.0,"610 Wade Ave, Quesnel, BC",Quesnel,Daycare
?Echen Early Learning,52.976674,-122.505216,158.0,"324 Hoy St, Quesnel, BC",Quesnel,Daycare
?pey? Elementary,49.2807399,-123.0646154,290.0,"1950 Hastings St E, Vancouver, BC",Vancouver,Elementary Public School
@KOOL,50.6571399,-120.3595706,,"1770 Springview Pl, Kamloops, BC",Kamloops,Elementary-Secondary Public School
A & B Childcare Centre,49.223817,-122.970411,283.0,"6620 Colborne Ave, Burnaby, BC",Burnaby,Daycare
A & B Daycare,49.228755,-122.985258,222.0,"6092 Selma Ave, Burnaby, BC",Burnaby,Daycare
A & B Learning Daycare,49.238899,-123.000432,243.0,"4605 Grassmere St, Burnaby, BC",Burnaby,Daycare
A & C Family Daycare,49.225897,-122.986441,181.0,"5382 Irving St, Burnaby, BC",Burnaby,Daycare
A & Z Daycare Ltd.,49.11416,-122.827528,226.0,"14242 61A Ave, Surrey, BC",Surrey,Daycare
A + Child Care Centre,49.221352,-122.962857,206.0,"6793 Elwell St, Burnaby, BC",Burnaby,Daycare
A B Children Family Daycare,49.145176,-122.636262,175.0,"7857 211B St, Langley, BC",Langley,Daycare
A Child's P.L.A.C.E.,49.301575,-124.39067,243.0,"1827 Gibbs Rd, Coombs, BC",Coombs,Daycare
A D Rundle Middle School,49.159136,-121.9625947,450.0,"45660 Hocking Ave, Chilliwack, BC",Chilliwack,Elementary Public School
A Fun Place To Grow,49.679213,-124.950322,192.0,"3214 Back Rd, Comox, BC",Comox,Daycare
A Growing Place Early Childhood Centre,48.36612,-123.540289,203.0,"4749 William Head Rd, Victoria, BC",Victoria,Daycare
A H P Matthew Elementary,49.1790656,-122.8524891,415.0,"13367 97 Ave, Surrey, BC",Surrey,Elementary Public School
A J Elliott Elementary,50.6262676,-127.0120502,125.0,"PO Box 149, Sointula, BC",Sointula,Elementary Public School
A J McLellan Elementary,49.1135406,-122.7635129,505.0,"16545 61 Ave, Surrey, BC",Surrey,Elementary Public School
A Kid's Space Childcare Centre Inc.,50.317825,-122.800049,291.0,"101-1436 Portage Rd, Pemberton, BC",Pemberton,Daycare
A Kid's Space Childcare Centre Inc. - Group Child Care (Sa),50.317825,-122.800049,133.0,"101-1436 Portage Rd, Pemberton, BC",Pemberton,Daycare
A League Of Their Own,48.581307,-123.414652,254.0,"7325 Chatwell Dr, Saanichton, BC",Saanichton,Daycare
A Little Moore Love,49.179662,-121.941652,209.0,"9766 Linwood St, Chilliwack, BC",Chilliwack,Daycare
A Loving Hart Daycare,53.987821,-122.776356,159.0,"6386 Dawson Rd, Prince George, BC",Prince George,Daycare
A Miracle Childcare,49.278864,-122.966773,168.0,"6655 Georgia St, Burnaby, BC",Burnaby,Daycare
A Place To Play,49.205801,-123.99367,246.0,"933 Capilano Pl, Nanaimo, BC",Nanaimo,Daycare
A Place To Play,49.733214,-114.888276,186.0,"156 Spruce Ave, Sparwood, BC",Sparwood,Daycare
A Place To Play Too,49.732561,-114.887693,147.0,"125 Centennial Square, Sparwood, BC",Sparwood,Daycare
A Plus Daycare,49.334244,-123.128396,286.0,"490 Macbeth Cres, West Vancouver, BC",West Vancouver,Daycare
A Plus Daycare,49.334244,-123.128396,296.0,"490 Macbeth Crescent, West Vancouver, BC",West Vancouver,Daycare
A S Matheson Elementary,49.8759985,-119.4777947,345.0,"2090 Gordon Dr, Kelowna, BC",Kelowna,Elementary Public School
A To Z Childcare Centre,49.159267,-122.773459,229.0,"8613 162 St, Surrey, BC",Surrey,Daycare
A To Z Childcare Centre #2,49.160294,-122.77507,167.0,"16128 86B Ave, Surrey, BC",Surrey,Daycare
A To Z Childcare Centre #3,49.16064,-122.766852,180.0,"16433 86B, Surrey, BC",Surrey,Daycare
A To Z Childcare Centre #4,49.169925,-122.794654,131.0,"15438 92Nd Ave, Surrey, BC",Surrey,Daycare
A To Z Playhouse Inc.,54.77961,-127.159458,201.0,"1636 Princess St, Smithers, BC",Smithers,Daycare
A Tree House Daycare Centre,49.263811,-122.975551,313.0,"6100 Broadway, Burnaby, BC",Burnaby,Daycare
A Wave Of Stars Childcare,49.279745,-122.867372,163.0,"1821 Barnet Hwy, Port Moody, BC",Port Moody,Daycare
A World Of Wonder Preschool,50.707897,-120.358166,110.0,"645 Clearwater Ave, Kamloops, BC",Kamloops,Daycare
